N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
01-2013-0753,1,CIUTAT VELLA,1,el Raval,Carrer,HOSPITAL,1,25,,,,,,,1,2,HUTB-000715,9,2.1711251690070341,41.379034724837283
02-2014-0566,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,1,51,,53,,,,,EN,1,HUTB-010412,7,2.1731132557643407,41.406594539863299
02-2014-0207,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Plaça,TETUAN,1,33,,,,,,,SA,2,HUTB-008754,4,2.1749583313167165,41.393787809267451
01-2014-0073,1,CIUTAT VELLA,1,el Raval,Carrer,JUNTA DE COMERÇ,1,23,,,,,,,2,1A,HUTB-013228,4,2.1707878687384023,41.377597756299629
02-2014-1125,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,2,682,,,,,,,2,1,HUTB-011029,8,2.1719544309261289,41.390836125863856
02-2014-0241,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,ENRIC GRANADOS,1,125,,,,,,,2,1,HUTB-008826,5,2.1534796974766302,41.39170841253241
02-2014-0227,2,L'EIXAMPLE,10,Sant Antoni,Carrer,CALABRIA,1,5,,,,,,,1,,HUTB-008655,5,2.1593592475201531,41.37360076453723
02-2014-0228,2,L'EIXAMPLE,10,Sant Antoni,Carrer,CALABRIA,1,5,,,,,,,AT,,HUTB-008656,2,2.1593592475201531,41.37360076453723
02-2013-0972,2,L'EIXAMPLE,10,Sant Antoni,Carrer,COMTE BORRELL,1,37,,,,,,,EN,4,HUTB-006257,7,2.1622677587607653,41.374812176431092
02-2013-0975,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,GRACIA,1,3,,,,,,,5,2,HUTB-006316,5,2.168168546282998,41.386369432166155
06-2013-0312,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,BJ,,HUTB-006302,8,2.1563272608725841,41.4055465360859
06-2013-0313,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,1,1,HUTB-006304,4,2.1563272608725841,41.4055465360859
06-2013-0315,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,2,1,HUTB-006303,4,2.1563272608725841,41.4055465360859
06-2013-0316,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,2,2,HUTB-006306,4,2.1563272608725841,41.4055465360859
02-2013-0998,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CALABRIA,2,120,,,,,,,4,2,HUTB-006490,7,2.1526155133981155,41.378971757793458
06-2013-0314,6,GRACIA,31,la Vila de Gràcia,Carrer,MASSENS,1,23,,,,,,,1,2,HUTB-006305,4,2.1563272608725841,41.4055465360859
02-2013-1086,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,3,1,HUTB-006569,4,2.1618082512235275,41.381993274622985
02-2013-1087,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,3,2A,HUTB-006570,4,2.1618082512235275,41.381993274622985
03-2013-0335,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,CREU DELS MOLERS,2,76,,,,,,,3,,HUTB-006298,5,2.1597702174997693,41.369873720330659
02-2013-1043,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CORSEGA,1,77,,,,,,,5,4,HUTB-006635,5,2.143383341865404,41.38361523824269
10-2013-0384,10,SANT MARTI,68,el Poblenou,Carrer,PUJADES,2,238,,,,,,,BJ,I2,HUTB-006258,5,2.2023867257736836,41.401816048679784
06-2013-0323,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,BAILEN,2,212,,,,,,B,EN,4,HUTB-006392,7,2.1627465222443476,41.400334507427672
06-2013-0324,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Travessera,GRACIA,2,274,,,,,,A,1,1,HUTB-006393,3,2.1651822673173831,41.404669521042408
10-2013-0418,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,2,258,,,,,,,1,2,HUTB-006347,4,2.183109677798666,41.405441921649036
03-2013-0324,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,PIQUER,1,15,,,,,,,3,1,HUTB-006269,3,2.1694605796180086,41.370900867227299
02-2013-0987,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,COMTE D'URGELL,2,74,,,,,,,2,1,HUTB-006266,3,2.156956748783827,41.380871570685215
02-2013-0994,2,L'EIXAMPLE,10,Sant Antoni,Carrer,SEPULVEDA,2,156,,160,,,,,6,2,HUTB-006487,7,2.1603378375349607,41.380411850342824
02-2013-1055,2,L'EIXAMPLE,10,Sant Antoni,Carrer,FLORIDABLANCA,2,148,,,,,,,2,2,HUTB-006465,5,2.1617777665408155,41.379804676075246
02-2013-1082,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,PR,1,HUTB-006566,8,2.1618082512235275,41.381993274622985
06-2013-0332,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,PI I MARGALL,1,7,,,,,,,3,2,HUTB-006518,3,2.1618910305963892,41.404449734783505
02-2013-1075,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,MALLORCA,1,371,,,,,,,5,2,HUTB-006517,4,2.1716574834136657,41.399796891025296
02-2013-1083,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,PR,2,HUTB-006567,4,2.1618082512235275,41.381993274622985
02-2013-1058,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,100,,,,,,,5,1,HUTB-006468,4,2.1592417597208335,41.391688328406019
02-2013-1060,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,100,,,,,,,3,3,HUTB-006469,4,2.1592417597208335,41.391688328406019
02-2013-1084,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MUNTANER,1,7,,,,,,,2,2,HUTB-002407,4,2.1618082512235275,41.381993274622985
10-2013-0427,10,SANT MARTI,68,el Poblenou,Carrer,ESPRONCEDA,2,88,,,,,,,1,1,HUTB-006396,2,2.2038408588107248,41.403380678763526
10-2013-0428,10,SANT MARTI,68,el Poblenou,Carrer,ESPRONCEDA,2,88,,,,,,,2,1,HUTB-006397,3,2.2038408588107248,41.403380678763526
02-2013-1033,2,L'EIXAMPLE,10,Sant Antoni,Carrer,TAMARIT,2,90,,,,,,,4,,HUTB-006618,10,2.1558853725662508,41.373664877797673
02-2013-0989,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CALABRIA,2,222,,,,,,,4,1,HUTB-006270,3,2.1467491847206057,41.383404862130014
02-2013-1026,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,5,2,HUTB-006578,5,2.1536830160311538,41.37408936727541
02-2013-1027,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,6,1,HUTB-006577,4,2.1536830160311538,41.37408936727541
03-2013-0338,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,1,1,HUTB-006311,4,2.1449198826445754,41.37345444245971
10-2013-0429,10,SANT MARTI,68,el Poblenou,Carrer,LOPE DE VEGA,1,115,,,,,,,PR,4,HUTB-006402,4,2.2011463639422741,41.403435106937188
03-2013-0351,3,SANTS-MONTJUÏC,18,Sants,Carrer,SAGUNT,1,71,,,,,,,BJ,,HUTB-006398,4,2.133959873101289,41.370028092031674
02-2013-1009,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,1,131,,133,,,,,PR,2,HUTB-006300,9,2.151135154305909,41.386070521087568
02-2013-1010,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,1,131,,133,,,,,3,4,HUTB-006301,7,2.151135154305909,41.386070521087568
02-2013-1028,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,6,2,HUTB-006576,5,2.1536830160311538,41.37408936727541
02-2013-1021,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,3,1,HUTB-006333,4,2.1536830160311538,41.37408936727541
02-2013-1022,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,3,2,HUTB-006581,5,2.1536830160311538,41.37408936727541
02-2013-1029,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,7,2,HUTB-006575,5,2.1536830160311538,41.37408936727541
03-2013-0341,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,4,2,HUTB-006381,4,2.1449198826445754,41.37345444245971
03-2013-0342,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,4,1,HUTB-006382,4,2.1449198826445754,41.37345444245971
02-2013-1023,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,4,1,HUTB-006580,5,2.1536830160311538,41.37408936727541
07-2013-0148,7,HORTA-GUINARDÓ,33,el Baix Guinardó,Travessera,GRACIA,2,316,,322,,,B,,AT,1,HUTB-006377,6,2.1675096010762855,41.406125158225571
03-2013-0343,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,3,2,HUTB-006383,4,2.1449198826445754,41.37345444245971
02-2013-1011,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,SARDENYA,2,338,,,,,,,2,2,HUTB-006312,5,2.1712947593738345,41.402387292149157
03-2013-0344,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,2,2,HUTB-006384,4,2.1449198826445754,41.37345444245971
03-2013-0345,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,2,1,HUTB-006385,4,2.1449198826445754,41.37345444245971
03-2013-0346,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,1,2,HUTB-006386,4,2.1449198826445754,41.37345444245971
02-2013-0982,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ENTENÇA,1,163,,,,,,,5,1,HUTB-003155,11,2.1432352190586261,41.382368856293304
02-2013-0983,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ENTENÇA,1,163,,,,,,,4,1,HUTB-003156,11,2.1432352190586261,41.382368856293304
02-2013-0969,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,1,667,,,,,,,3,2,HUTB-006291,14,2.1728872475480316,41.392201455055002
02-2013-1024,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,4,2,HUTB-006579,5,2.1536830160311538,41.37408936727541
02-2013-1025,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,5,1,HUTB-006374,4,2.1536830160311538,41.37408936727541
03-2013-0347,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CREU COBERTA,2,50,,,,,,,PR,2,HUTB-006370,4,2.1449198826445754,41.37345444245971
02-2013-1016,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ROSSELLO,2,284,,,,,,,2,2,HUTB-006495,8,2.164462523435712,41.397535842810484
02-2013-1019,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,2,1,HUTB-006574,4,2.1536830160311538,41.37408936727541
02-2013-1020,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,2,2,HUTB-006582,4,2.1536830160311538,41.37408936727541
02-2013-0990,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,VALENCIA,2,492,,,,,,,AT,1,HUTB-006560,4,2.1781243414105385,41.402656468108894
02-2013-1013,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,MISTRAL,1,61,,,,,,,1,2,HUTB-006494,5,2.1536830160311538,41.37408936727541
03-2013-0316,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,POETA CABANYES,2,86,,,,,,,PR,1,HUTB-006261,6,2.1630276707077973,41.369564603816436
02-2013-1015,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passatge,CONCEPCIO,2,2,,,,,,,2,2,HUTB-006323,4,2.1594723987675501,41.393142355662285
01-2013-0447,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,1,97,,,,,,,2,3,HUTB-002975,7,2.1657335163045381,41.378182921817931
10-2013-0409,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,2,276,B,280,,,,,2,3,HUTB-006369,4,2.1791510705940182,41.412134156395432
10-2013-0410,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,2,276,B,280,,,,,3,2,HUTB-006387,5,2.1791510705940182,41.412134156395432
01-2013-0423,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,PR,1,HUTB-002970,4,2.1699458169184007,41.380882106296575
01-2013-0424,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,PR,2,HUTB-002971,4,2.1699458169184007,41.380882106296575
01-2013-0425,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,PR,3,HUTB-002972,5,2.1699458169184007,41.380882106296575
02-2013-1041,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,BRUC,1,65,,,,,,,AT,2,HUTB-006583,7,2.1689904261392661,41.391907142303467
10-2013-0417,10,SANT MARTI,68,el Poblenou,Carrer,PUJADES,2,286,,,,,,,2,1,HUTB-006390,4,2.2048866786441534,41.403720521545274
10-2013-0411,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,2,276,B,280,,,,,3,4,HUTB-006371,6,2.1791510705940182,41.412134156395432
06-2013-0320,6,GRACIA,31,la Vila de Gràcia,Travessera,GRACIA,1,187,,,,,,,2,4,HUTB-006325,4,2.1582377652114246,41.400484587747393
10-2013-0412,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,2,276,B,280,,,,,3,5,HUTB-006372,6,2.1791510705940182,41.412134156395432
02-2013-1035,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CALABRIA,2,104,,,,,,,1,2P,HUTB-006634,5,2.1536454692144948,41.378197836629738
02-2013-1042,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,MALLORCA,2,496,,,,,,,AT,1,HUTB-006349,7,2.1791778341310084,41.405149839013738
02-2013-1045,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CALABRIA,1,199,,,,,,,1,4,HUTB-006585,4,2.1474557581270655,41.382593559611962
10-2013-0424,10,SANT MARTI,68,el Poblenou,Carrer,DOCTOR TRUETA,1,173,,,,,,B,3,4,HUTB-006395,8,2.1994092736719995,41.395013684522759
03-2013-0329,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,OLIVERA,1,29,,,,,,D,1,3,HUTB-006271,4,2.1563554566445413,41.371751712200599
01-2013-0426,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,PR,4,HUTB-002973,4,2.1699458169184007,41.380882106296575
01-2013-0433,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,2,2,HUTB-002963,4,2.1699458169184007,41.380882106296575
01-2013-0427,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,1,1,HUTB-002958,4,2.1699458169184007,41.380882106296575
01-2013-0428,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,1,2,HUTB-002959,4,2.1699458169184007,41.380882106296575
01-2013-0429,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,1,3,HUTB-002960,5,2.1699458169184007,41.380882106296575
01-2013-0431,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,1,4,HUTB-002961,4,2.1699458169184007,41.380882106296575
01-2013-0432,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,2,10,,,,,,,2,1,HUTB-002962,4,2.1699458169184007,41.380882106296575
10-2014-0091,10,SANT MARTI,68,el Poblenou,Carrer,LLULL,1,223,,,,,,,3,3,HUTB-008623,6,2.2031708757215154,41.400897573857485
02-2013-0996,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,SICILIA,1,211,,,,,,,2,,HUTB-006488,7,2.1726516698891016,41.399384295077667
06-2014-0616,6,GRACIA,31,la Vila de Gràcia,Carrer,SANT DOMENEC,1,9,,,,,,,2,1,HUTB-012478,5,2.1553980957807344,41.398026378437912
06-2014-0617,6,GRACIA,31,la Vila de Gràcia,Carrer,SANT DOMENEC,1,9,,,,,,,2,2,HUTB-012479,6,2.1553980957807344,41.398026378437912
02-2014-0203,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,1,97,,,,,,,4,3,HUTB-008612,6,2.1680881631957916,41.394295167430698
02-2014-0204,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,1,97,,,,,,,2,2,HUTB-008613,6,2.1680881631957916,41.394295167430698
05-2013-0319,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,CALVET,1,15,,,,,,,2,1,HUTB-006265,11,2.1431370462057648,41.392141986212664
01-2013-0411,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,SERRA,2,8,,,,,,,2,,HUTB-013143,7,2.1770131775198296,41.378153067490629
06-2013-0306,6,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,43,,,,,,,2,1,HUTB-006267,3,2.1611687376461957,41.398660701241205
10-2013-0391,10,SANT MARTI,67,la Vila Olímpica del Poblenou,Carrer,ROSA SENSAT,1,31,,,,,,,3,3,HUTB-006297,5,2.1931648306109701,41.390607468719899
03-2013-0320,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,113,,,,,,,1,1,HUTB-006262,8,2.1611494423864182,41.372953099433531
02-2013-0974,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CORSEGA,1,193,,,,,,,3,2,HUTB-006313,8,2.1497251629955527,41.388404475731583
02-2013-0976,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CORSEGA,1,193,,,,,,,2,2,HUTB-006315,9,2.1497251629955527,41.388404475731583
02-2013-0977,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CORSEGA,1,193,,,,,,,EN,2,HUTB-006314,7,2.1497251629955527,41.388404475731583
02-2013-0973,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,1,113,,,,,,,PR,1,HUTB-006292,18,2.1581530869573395,41.392087101968826
02-2013-2004,2,L'EIXAMPLE,10,Sant Antoni,Carrer,SEPULVEDA,1,151,,,,,,,SA,2,HUTB-007756,3,2.1600728375411276,41.380496037178254
06-2013-0640,6,GRACIA,31,la Vila de Gràcia,Carrer,PERE SERAFI,2,38,,,,,,,1,3,HUTB-007755,5,2.1536976401702566,41.399802428270213
01-2018-0197,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,PETRITXOL,1,17,,,,,,,3,2,HUTB-041022,4,2.1714042465316981,41.381327734915899
01-2018-0195,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,PETRITXOL,1,17,,,,,,,3,1,HUTB-041021,5,2.1714042465316981,41.381327734915899
07-2014-0358,7,HORTA-GUINARDÓ,35,el Guinardó,Carrer,LLOBET I VALL-LLOSERA,2,8,,,,,,,EN,3,HUTB-012943,5,2.1714524379447022,41.420079160923088
03-2023-0185,3,SANTS-MONTJUÏC,11,el Poble Sec,Plaça,SANTA MADRONA,2,2,,,,,,,1,2,HUTB-072555,3,2.1553042176179606,41.371598663768921
02-2014-0340,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,MALLORCA,1,217,,,,,,,1,2,HUTB-008625,12,2.1576950211778092,41.389285353044585
02-2013-2098,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,1,667,,,,,,,PR,2,HUTB-007838,4,2.1728872475480316,41.392201455055002
02-2014-0485,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,TRAFALGAR,1,33,,,,,,,1,1,HUTB-009459,2,2.1756837177158892,41.387933156865898
02-2014-0486,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,TRAFALGAR,1,33,,,,,,,1,3,HUTB-009458,4,2.1756837177158892,41.387933156865898
02-2014-0509,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,PARAL.LEL,2,188,,,,,,,2,4,HUTB-009312,7,2.1521033855933869,41.373351083461245
02-2010-0560,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,GRACIA,2,108,,,,,,,6,3,HUTB-000545,4,2.1592881467130711,41.394366479569655
02-2010-0561,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Passeig,GRACIA,2,108,,,,,,,6,2,HUTB-000546,4,2.1592881467130711,41.394366479569655
02-2010-0567,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,BRUC,1,5,,,,,,,3,1,HUTB-004081,4,2.1746741345986527,41.387615223719699
02-2010-0565,2,L'EIXAMPLE,10,Sant Antoni,Carrer,ROCAFORT,2,46,,,,,,,1,1,HUTB-001687,7,2.1545933334791862,41.375783393466818
03-2010-0231,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,ROSER,1,21,,,,,,,3,4,HUTB-002025,3,2.1658353961888235,41.371822922330054
02-2010-0601,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,VALENCIA,1,115,,,,,,,5,1,HUTB-001323,4,2.1534544283759733,41.384398222396563
06-2008-0259,6,GRACIA,31,la Vila de Gràcia,Passeig,GRACIA,1,115,,,,,,,3,3,HUTB-000554,8,2.1572342593263909,41.395200617706976
06-2008-0260,6,GRACIA,31,la Vila de Gràcia,Passeig,GRACIA,1,115,,,,,,,2,1,HUTB-000555,2,2.1572342593263909,41.395200617706976
06-2008-0261,6,GRACIA,31,la Vila de Gràcia,Passeig,GRACIA,1,115,,,,,,,4,1,HUTB-000556,4,2.1572342593263909,41.395200617706976
02-2008-0523,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,PAU CLARIS,2,76,,,,,,,PR,2B,HUTB-002660,4,2.1705460216454933,41.387605194135318
02-2008-0567,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,283,,,,,,,1,2,HUTB-003451,4,2.1602081590552302,41.386076729291055
02-2008-0568,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,283,,,,,,,2,1,HUTB-003452,3,2.1602081590552302,41.386076729291055
02-2008-0569,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,283,,,,,,,2,2,HUTB-003453,4,2.1602081590552302,41.386076729291055
02-2008-0570,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,283,,,,,,,3,1,HUTB-003454,3,2.1602081590552302,41.386076729291055
02-2008-0525,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,PAU CLARIS,2,76,,,,,,,PR,2A,HUTB-002661,4,2.1705460216454933,41.387605194135318
02-2008-0535,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,DIAGONAL,2,320,B,,,,,,4,2,HUTB-003052,5,2.1745251060480717,41.398967373083096
02-2008-0663,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,MARINA,1,223,,,,,,,3,2,HUTB-001128,6,2.1763121526202571,41.400235545524865
02-2010-0623,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,221,,,,,,D,2,2,HUTB-003437,8,2.1567693940882533,41.383489592090811
02-2008-0571,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,283,,,,,,,3,2,HUTB-003455,4,2.1602081590552302,41.386076729291055
02-2008-0572,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,283,,,,,,,4,1,HUTB-003456,3,2.1602081590552302,41.386076729291055
02-2008-0573,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,283,,,,,,,4,2,HUTB-003457,4,2.1602081590552302,41.386076729291055
02-2008-0574,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,283,,,,,,,5,1,HUTB-003458,2,2.1602081590552302,41.386076729291055
03-2008-0319,3,SANTS-MONTJUÏC,18,Sants,Rambla,BADAL,2,148,,,,,,,EN,1,HUTB-003928,3,2.1304568802877353,41.371233679081058
03-2008-0320,3,SANTS-MONTJUÏC,18,Sants,Rambla,BADAL,2,148,,,,,,,EN,2,HUTB-003929,3,2.1304568802877353,41.371233679081058
03-2008-0321,3,SANTS-MONTJUÏC,18,Sants,Rambla,BADAL,2,148,,,,,,,1,1,HUTB-003930,3,2.1304568802877353,41.371233679081058
03-2008-0322,3,SANTS-MONTJUÏC,18,Sants,Rambla,BADAL,2,148,,,,,,,1,2,HUTB-003931,3,2.1304568802877353,41.371233679081058
03-2008-0323,3,SANTS-MONTJUÏC,18,Sants,Rambla,BADAL,2,148,,,,,,,2,1,HUTB-003932,3,2.1304568802877353,41.371233679081058
03-2008-0324,3,SANTS-MONTJUÏC,18,Sants,Rambla,BADAL,2,148,,,,,,,2,2,HUTB-003933,3,2.1304568802877353,41.371233679081058
03-2008-0325,3,SANTS-MONTJUÏC,18,Sants,Rambla,BADAL,2,148,,,,,,,3,1,HUTB-003934,3,2.1304568802877353,41.371233679081058
03-2008-0326,3,SANTS-MONTJUÏC,18,Sants,Rambla,BADAL,2,148,,,,,,,3,2,HUTB-003935,3,2.1304568802877353,41.371233679081058
02-2008-0590,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ARAGO,1,291,,,,,,,2,2,HUTB-003710,2,2.1658240254930914,41.392062560612167
02-2008-0656,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,2,66,,,,,,,1,3,HUTB-000323,6,2.1734098773399202,41.408380692845064
10-2008-0259,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,2,350,,,,,,,1,,HUTB-000764,7,2.1781110491812958,41.409255463213086
05-2008-0142,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,CALVET,1,17,,,,,,,7,2,HUTB-002929,7,2.1429761566990275,41.392267415317789
05-2008-0143,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,CALVET,1,17,,,,,,,3,3,HUTB-002930,7,2.1429761566990275,41.392267415317789
05-2008-0144,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,CALVET,1,17,,,,,,,3,2,HUTB-002931,7,2.1429761566990275,41.392267415317789
